char,prob,code,len,ascii
␠,0.146237,101,3,100000
e,0.092639,000,3,1100101
i,0.082828,1111,4,1101001
u,0.075153,1101,4,1110101
s,0.068673,1001,4,1110011
t,0.067806,1000,4,1110100
a,0.065952,0111,4,1100001
l,0.048938,0101,4,1101100
n,0.048598,0100,4,1101110
r,0.045747,0010,4,1110010
m,0.037540,11100,5,1101101
o,0.034750,11000,5,1101111
c,0.033842,01101,5,1100011
d,0.022865,00110,5,1100100
.,0.018963,110011,6,101110
p,0.017538,110010,6,1110000
,,0.013100,011000,6,101100
v,0.012958,001111,6,1110110
g,0.010226,1110111,7,1100111
q,0.010206,1110110,7,1110001
b,0.009982,1110101,7,1100010
f,0.007584,0110011,7,1100110
h,0.004605,11101000,8,1101000
N,0.002620,00111001,8,1001110
P,0.002546,111010011,9,1010000
S,0.002053,011001011,9,1010011
D,0.001983,011001010,9,1000100
M,0.001766,011001001,9,1001101
\n,0.001662,011001000,9,1010
x,0.001602,001110111,9,1111000
I,0.001468,001110110,9,1001001
A,0.001435,001110100,9,1000001
V,0.001377,001110001,9,1010110
C,0.001238,001110000,9,1000011
j,0.000836,0011101011,10,1101010
Q,0.000620,0011101010,10,1010001
E,0.000595,11101001011,11,1000101
U,0.000593,11101001010,11,1010101
F,0.000589,11101001001,11,1000110
;,0.000103,111010010000,12,111011
O,0.000099,1110100100011,13,1001111
L,0.000084,1110100100010,13,1001100
